______________________________________________________________________
Marvellous Process log
LOG file created as Sun Jun  2 10:15:33 2024
______________________________________________________________________
CONTENT OF FILE ARE :
______________________________________________________________________
{'name': 'distnoted', 'pid': 853, 'username': '_applepay'} 
{'name': 'Code Helper', 'pid': 857, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 859, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper', 'pid': 864, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper', 'pid': 867, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 873, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 874, 'username': 'shubhamwalhekar'} 
{'name': 'chrome_crashpad_handler', 'pid': 876, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (GPU)', 'pid': 887, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper', 'pid': 888, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper', 'pid': 904, 'username': 'shubhamwalhekar'} 
{'name': 'corespeechd', 'pid': 906, 'username': 'shubhamwalhekar'} 
{'name': 'icdd', 'pid': 913, 'username': 'shubhamwalhekar'} 
{'name': 'php-fpm', 'pid': 916, 'username': 'shubhamwalhekar'} 
{'name': 'AirPlayUIAgent', 'pid': 917, 'username': 'shubhamwalhekar'} 
{'name': 'diagnostics_agent', 'pid': 920, 'username': 'shubhamwalhekar'} 
{'name': 'TextInputMenuAgent', 'pid': 922, 'username': 'shubhamwalhekar'} 
{'name': 'ctkahp', 'pid': 925, 'username': 'root'} 
{'name': 'Loom', 'pid': 932, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 933, 'username': 'shubhamwalhekar'} 
{'name': 'ctkahp', 'pid': 934, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 961, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 965, 'username': 'shubhamwalhekar'} 
